Gene	Exp1	Exp2	Exp3	Exp4	Exp5	Exp6	Exp7	Exp8	Exp9	Exp10	Exp11	Exp12	Exp13	Exp14
ENSRNOG00000048043	0.115979	-0.0121077	0.218942	-0.07056	-0.128678	-0.337347	0.213772	-0.044181	0.042322	-0.545541	0.453037	0.221988	-0.044181	-0.0834427
ENSRNOG00000048056	-0.10463	-0.10463	0.261576	0.261576	-0.10463	-0.10463	-0.10463	-0.10463	-0.10463	0.261574	0.261574	-0.10463	-0.10463	-0.10463
ENSRNOG00000048095	-0.332607	0.203874	-0.101557	-0.101557	0.264649	0.399804	-0.332607	-0.236658	-0.236658	-0.236658	0.687539	-0.236658	0.495751	-0.236658
ENSRNOG00000048096	0.551835	0.073363	-0.850834	0.744996	-0.282584	-0.204853	-0.0319217	-0.52316	0.0740937	0.0740937	0.199858	-0.292111	0.148475	0.31875
ENSRNOG00000048124	-0.264057	-0.264057	-0.264057	0.660142	0.660142	-0.264057	-0.264057	-0.184343	-0.184343	-0.184343	0.643959	0.277755	-0.184343	-0.184343
ENSRNOG00000048125	-0.205595	-0.205595	-0.205595	-0.205595	0.867366	-0.205595	0.160611	-0.052315	-0.052315	-0.052315	-0.052315	-0.052315	-0.052315	0.313889
ENSRNOG00000048129	0.27801	0.334643	0.0590833	-0.344897	-0.088194	-0.358504	0.119857	-0.412911	0.646441	-0.277756	-0.277756	0.184342	0.184343	-0.0467067
ENSRNOG00000048139	0.403195	-0.21557	-0.656155	-0.154796	0.240523	0.195145	0.187654	0.361725	-0.370684	0.205057	-0.370684	0.034782	0.0699017	0.0699017
ENSRNOG00000048141	0.721416	0.184936	-0.18127	-0.18127	-0.18127	-0.18127	-0.18127	0.396084	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014	-0.066014
ENSRNOG00000048145	0.103011	0.396319	-0.284706	0.030115	0.154395	-0.396863	-0.00227333	0.697089	-0.436644	-0.802848	-0.34075	0.330885	0.622708	-0.0704393
ENSRNOG00000048155	0.216482	0.059814	0.159849	-0.206356	0.134195	-0.206355	-0.157628	-0.447862	0.319667	0.685871	0.0534977	-0.216813	0.284547	-0.678911
ENSRNOG00000048181	1.5659	-0.260983	-0.260983	-0.260983	-0.260983	-0.260983	-0.260983	1.3818	-0.230299	-0.230299	-0.230299	-0.230299	-0.230299	-0.230299
ENSRNOG00000048186	0.0354863	-0.203054	-0.0463857	0.0442587	-0.234824	0.266535	0.137982	0.638432	-0.60746	0.223612	-0.115491	-0.472304	0.478573	-0.145361
ENSRNOG00000048197	-0.110697	-0.185078	-0.168815	-0.117431	-0.0275433	0.428439	0.181126	-0.170106	0.562303	0.27048	0.135324	-0.401155	-0.130844	-0.266
ENSRNOG00000048212	-0.44724	-0.041774	-0.0801683	0.437615	-0.141809	0.301543	-0.028167	0.0702167	-0.622931	0.606696	-0.622931	-0.160833	0.585183	0.144598
ENSRNOG00000048222	-0.340814	0.400853	0.252948	0.13917	-0.0515083	-0.212283	-0.188369	0.276068	0.807379	0.75807	-0.74919	-0.191198	-0.614035	-0.287092
ENSRNOG00000048243	0.167523	-0.121644	0.487732	0.246318	-0.137907	-0.0635263	-0.578493	-0.938541	-0.110239	0.255966	-0.206132	0.255966	0.35186	0.391121
ENSRNOG00000048249	0.406606	0.315853	0.0754133	-0.395125	-0.132639	-0.608344	0.338233	0.0993327	0.915886	0.566236	-0.0482273	-0.548674	-0.633391	-0.351161
ENSRNOG00000048256	-0.590553	0.229311	-0.433884	-0.054073	0.404675	-0.124313	0.568834	0.686058	-0.655726	-1.02193	0.342852	0.709056	-0.193627	0.133316
ENSRNOG00000048259	0.105593	-0.18623	-0.356505	0.533598	0.47867	-0.857866	0.282741	-0.201126	0.713679	-0.471437	-0.336282	0.200198	-0.105233	0.200198
ENSRNOG00000048319	0.523804	-0.160904	0.0701453	0.226813	-0.331179	-0.116393	-0.212287	0.831194	-0.0484917	0.256939	-0.240279	-0.0484913	-0.240279	-0.51059
ENSRNOG00000048321	-0.032391	0.34742	0.671013	0.0189923	0.0703757	-1.45795	0.38254	0.821027	-0.67891	0.245286	-0.0816567	0.454823	-0.909959	0.149392
ENSRNOG00000048324	-0.226546	0.329581	0.656524	-0.171778	0.897524	-0.700766	-0.784539	-0.564849	0.083788	0.337835	-0.0634893	0.494503	0.277061	-0.564849
ENSRNOG00000048325	-1.15775	-0.390218	0.363704	0.769169	-0.329445	0.505732	0.238806	-0.535665	-0.208722	-0.16946	0.523687	0.0967087	0.0615887	0.231864
ENSRNOG00000048363	0.11096	-0.219367	-0.016704	0.086063	0.230609	-0.055965	-0.135596	0.0945957	-0.367502	0.190489	-0.271609	0.190489	0.570301	-0.406764
ENSRNOG00000048369	-0.77651	0.0747907	-0.0603647	-0.500949	0.273452	0.229136	0.760446	-0.571587	0.256716	-0.205383	0.0770497	0.989124	0.0256663	-0.571587
ENSRNOG00000048374	0.132519	-0.0350243	0.285913	0.032484	0.135251	0.183902	-0.735046	0.602217	0.275274	0.140118	0.410429	-0.553029	-0.553029	-0.32198
ENSRNOG00000048377	0.189793	-0.00613567	0.222481	0.075203	-0.170405	0.016134	-0.327073	0.484089	-0.523879	-0.710418	-0.269832	0.157146	0.474698	0.388195
ENSRNOG00000048389	0.337651	0.233097	0.549346	-0.122742	-0.687608	0.207585	-0.517332	0.75181	0.184427	-0.673746	-0.098005	0.51137	-0.002111	-0.673746
ENSRNOG00000048416	-0.236591	0.0981773	0.398439	0.251162	-0.441985	0.16739	-0.23659	0.724822	0.0154113	0.0897927	-0.446687	0.031675	0.568154	-0.983166
ENSRNOG00000048430	0.110126	0.582482	-0.025029	-0.426354	0.537103	-0.522248	-0.256078	0.880564	-0.505731	-0.640886	0.553621	0.261798	-0.274682	-0.274682
ENSRNOG00000048433	-0.251577	0.275241	0.0187333	0.118573	0.438079	-0.482626	-0.116422	0.508453	-0.140183	-0.200957	0.0300917	0.069353	0.335522	-0.602282
ENSRNOG00000048434	0.855473	0.584669	-1.2207	-0.318014	-0.0869653	-0.0261913	0.21173	0.419595	0.568357	-0.735651	-0.735651	0.493976	0.493976	-0.504602
ENSRNOG00000048436	0.156821	-0.209383	0.358866	-0.501206	-0.113489	0.196082	0.11231	-0.488367	0.435829	0.802034	-0.488367	0.375055	0.218388	-0.854571
ENSRNOG00000048446	-0.28206	-0.452335	0.530313	0.315194	0.523246	-0.317179	-0.317179	0.730042	-0.595479	-0.0374863	-0.268536	0.47748	0.193563	-0.499585
