OG_NAME	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
OG7147_2	0	0	0	0	0	0	0	0	0	0	4
OG7151_2	0	0	0	0	0	0	0	0	0	0	4
OG962_2	0	0	0	0	0	0	0	0	0	0	4
OG962_1	0	0	0	0	0	0	0	0	0	0	4
OG7427_2	0	0	0	0	0	0	0	0	0	0	4
OG633_1	0	0	0	0	0	0	0	0	0	0	4
OG7592_2	0	0	0	0	0	0	0	0	0	0	4
OG7794_2	0	0	0	0	0	0	0	0	0	0	4
OG7820_2	0	0	0	0	0	0	0	0	0	0	4
OG942_1	0	0	0	0	0	0	0	0	0	0	4
OG1285_3	0	0	0	0	0	0	0	0	0	0	4
OG8005_2	0	0	0	0	0	0	0	0	0	0	4
OG8014_2	0	0	0	0	0	0	0	0	0	0	4
OG8017_2	0	0	0	0	0	0	0	0	0	0	4
OG8234_2	0	0	0	0	0	0	0	0	0	0	4
OG8517_2	0	0	0	0	0	0	0	0	0	0	4
OG8653_2	0	0	0	0	0	0	0	0	0	0	4
OG710_1	0	0	0	0	0	0	0	0	0	0	4
OG892_2	0	0	0	0	0	0	0	0	0	0	4
OG9584_2	0	0	0	0	0	0	0	0	0	0	4
OG9698_2	0	0	0	0	0	0	0	0	0	0	4
OG9798_2	0	0	0	0	0	0	0	0	0	0	4
OG9906_2	0	0	0	0	0	0	0	0	0	0	4
OG10136_2	0	0	0	0	0	0	0	0	0	0	4
OG242_1	0	0	0	0	0	0	0	0	0	0	4
OG10272_2	0	0	0	0	0	0	0	0	0	0	4
OG10396_2	0	0	0	0	0	0	0	0	0	0	4
OG605_1	0	0	0	0	0	0	0	0	0	0	4
OG10852_2	0	0	0	0	0	0	0	0	0	0	4
OG696_2	0	0	0	0	0	0	0	0	0	0	4
OG182_1	0	0	0	0	0	0	0	0	0	0	4
OG1614_2	0	0	0	0	0	0	0	0	0	0	4
OG1212_1	0	0	0	0	0	0	0	0	0	0	4
OG89_1	0	0	0	0	0	0	0	0	0	0	4
OG544_1	0	0	0	0	0	0	0	0	0	0	4
OG464_1	0	0	0	0	0	0	0	0	0	0	4
OG11677_2	0	0	0	0	0	0	0	0	0	0	4
OG12899_2	0	0	0	0	0	0	0	0	0	0	4
OG87_1	0	0	0	0	0	0	0	0	0	0	4
OG531_3	1	0	0	0	0	0	0	0	0	0	4
OG8109_2	1	0	0	0	0	0	0	0	0	0	4
OG7910_2	1	0	0	0	0	0	0	0	0	0	4
OG1465_1	1	0	0	0	0	0	0	0	0	0	4
OG2289_3	1	0	0	0	0	0	0	0	0	0	4
OG2442_3	1	0	0	0	0	0	0	0	0	0	4
OG7169_2	1	0	0	0	0	0	0	0	0	0	4
OG6378_1	1	0	0	0	0	0	0	0	0	0	4
OG7308_2	2	0	0	0	0	0	0	0	0	0	4
OG8530_2	2	0	0	0	0	0	0	0	0	0	4
OG4958_2	2	0	0	0	0	0	0	0	0	0	4
OG12071_2	2	0	0	0	0	0	0	0	0	0	4
OG2884_1	2	0	0	0	0	0	0	0	0	0	4
OG190_1	4	0	0	0	0	0	0	0	0	0	4
OG1390_2	4	0	0	0	0	0	0	0	0	0	4
OG15720_1	4	0	0	0	0	0	0	0	0	0	4
OG15682_1	4	0	0	0	0	0	0	0	0	0	4
OG461_3	4	0	0	0	0	0	0	0	0	0	4
OG1465_3	4	0	0	0	0	0	0	0	0	0	4
OG1595_3	4	0	0	0	0	0	0	0	0	0	4
OG531_2	4	0	0	0	0	0	0	0	0	0	4
OG1618_2	4	0	0	0	0	0	0	0	0	0	4
OG635_3	4	0	0	0	0	0	0	0	0	0	4
OG12899_1	4	0	0	0	0	0	0	0	0	0	4
OG12575_1	4	0	0	0	0	0	0	0	0	0	4
OG12371_1	4	0	0	0	0	0	0	0	0	0	4
OG12113_2	4	0	0	0	0	0	0	0	0	0	4
OG12082_1	4	0	0	0	0	0	0	0	0	0	4
OG12071_1	4	0	0	0	0	0	0	0	0	0	4
OG11841_2	4	0	0	0	0	0	0	0	0	0	4
OG11841_1	4	0	0	0	0	0	0	0	0	0	4
OG11677_1	4	0	0	0	0	0	0	0	0	0	4
OG11443_1	4	0	0	0	0	0	0	0	0	0	4
OG2463_2	4	0	0	0	0	0	0	0	0	0	4
OG10959_2	4	0	0	0	0	0	0	0	0	0	4
OG10931_2	4	0	0	0	0	0	0	0	0	0	4
OG10923_2	4	0	0	0	0	0	0	0	0	0	4
OG10852_1	4	0	0	0	0	0	0	0	0	0	4
OG1748_3	4	0	0	0	0	0	0	0	0	0	4
OG10396_1	4	0	0	0	0	0	0	0	0	0	4
OG10259_2	4	0	0	0	0	0	0	0	0	0	4
OG10066_2	4	0	0	0	0	0	0	0	0	0	4
OG9912_2	4	0	0	0	0	0	0	0	0	0	4
OG9783_1	4	0	0	0	0	0	0	0	0	0	4
OG3022_3	4	0	0	0	0	0	0	0	0	0	4
OG9432_1	4	0	0	0	0	0	0	0	0	0	4
OG9298_2	4	0	0	0	0	0	0	0	0	0	4
OG892_1	4	0	0	0	0	0	0	0	0	0	4
OG1798_3	4	0	0	0	0	0	0	0	0	0	4
OG9115_2	4	0	0	0	0	0	0	0	0	0	4
OG9084_2	4	0	0	0	0	0	0	0	0	0	4
OG9046_2	4	0	0	0	0	0	0	0	0	0	4
OG8953_2	4	0	0	0	0	0	0	0	0	0	4
OG8902_2	4	0	0	0	0	0	0	0	0	0	4
OG8765_1	4	0	0	0	0	0	0	0	0	0	4
OG8695_1	4	0	0	0	0	0	0	0	0	0	4
OG8626_1	4	0	0	0	0	0	0	0	0	0	4
OG8270_2	4	0	0	0	0	0	0	0	0	0	4
OG8170_2	4	0	0	0	0	0	0	0	0	0	4
OG8152_2	4	0	0	0	0	0	0	0	0	0	4
OG8101_2	4	0	0	0	0	0	0	0	0	0	4
OG8023_2	4	0	0	0	0	0	0	0	0	0	4
OG7969_2	4	0	0	0	0	0	0	0	0	0	4
OG7927_2	4	0	0	0	0	0	0	0	0	0	4
OG7880_2	4	0	0	0	0	0	0	0	0	0	4
OG7866_2	4	0	0	0	0	0	0	0	0	0	4
OG7736_2	4	0	0	0	0	0	0	0	0	0	4
OG7710_2	4	0	0	0	0	0	0	0	0	0	4
OG7660_2	4	0	0	0	0	0	0	0	0	0	4
OG7653_2	4	0	0	0	0	0	0	0	0	0	4
OG7463_2	4	0	0	0	0	0	0	0	0	0	4
OG7314_2	4	0	0	0	0	0	0	0	0	0	4
OG2463_1	4	0	0	0	0	0	0	0	0	0	4
OG7242_2	4	0	0	0	0	0	0	0	0	0	4
OG7217_2	4	0	0	0	0	0	0	0	0	0	4
OG7088_2	4	0	0	0	0	0	0	0	0	0	4
OG7078_2	4	0	0	0	0	0	0	0	0	0	4
OG7067_2	4	0	0	0	0	0	0	0	0	0	4
OG7022_2	4	0	0	0	0	0	0	0	0	0	4
OG6956_2	4	0	0	0	0	0	0	0	0	0	4
OG6808_2	4	0	0	0	0	0	0	0	0	0	4
OG531_1	4	0	0	0	0	0	0	0	0	0	4
OG6453_2	4	0	0	0	0	0	0	0	0	0	4
OG6287_2	4	0	0	0	0	0	0	0	0	0	4
OG6287_1	4	0	0	0	0	0	0	0	0	0	4
OG2616_2	4	0	0	0	0	0	0	0	0	0	4
OG5766_2	4	0	0	0	0	0	0	0	0	0	4
OG5547_1	4	0	0	0	0	0	0	0	0	0	4
OG5307_2	4	0	0	0	0	0	0	0	0	0	4
OG5299_3	4	0	0	0	0	0	0	0	0	0	4
OG5264_2	4	0	0	0	0	0	0	0	0	0	4
OG1746_2	4	0	0	0	0	0	0	0	0	0	4
OG5018_3	4	0	0	0	0	0	0	0	0	0	4
OG5018_2	4	0	0	0	0	0	0	0	0	0	4
OG410_1	4	0	0	0	0	0	0	0	0	0	4
OG4881_1	4	0	0	0	0	0	0	0	0	0	4
OG4665_2	4	0	0	0	0	0	0	0	0	0	4
OG4416_1	4	0	0	0	0	0	0	0	0	0	4
OG4133_1	4	0	0	0	0	0	0	0	0	0	4
OG4085_3	4	0	0	0	0	0	0	0	0	0	4
OG4052_3	4	0	0	0	0	0	0	0	0	0	4
OG4052_2	4	0	0	0	0	0	0	0	0	0	4
OG3973_1	4	0	0	0	0	0	0	0	0	0	4
OG1746_3	4	0	0	0	0	0	0	0	0	0	4
OG3312_2	4	0	0	0	0	0	0	0	0	0	4
OG3238_2	4	0	0	0	0	0	0	0	0	0	4
OG3180_1	4	0	0	0	0	0	0	0	0	0	4
OG12575_2	5	0	0	0	0	0	0	0	0	0	4
OG6955_2	5	0	0	0	0	0	0	0	0	0	4
OG3309_1	4	0	0	0	1	0	0	0	1	1	4
OG10208_2	4	0	0	0	0	0	0	0	1	1	4
AT5G61200	4	0	0	0	0	0	0	1	1	1	4
OG1614_1	4	0	0	0	0	0	0	0	0	2	4
OG2963_1	4	0	0	0	0	0	0	0	0	2	4
OG1274_2	4	0	0	0	0	0	0	0	0	1	4
OG3521_1	4	0	0	1	0	0	0	0	0	1	4
OG8952_1	4	0	1	1	0	0	0	0	0	1	4
OG9140_1	4	0	1	1	0	0	0	0	0	1	4
OG7133_1	4	0	1	1	0	0	0	0	0	1	4
OG758_1	4	0	1	2	0	0	0	0	0	2	4
OG6704_2	4	0	0	2	0	0	0	0	0	2	4
OG5998_2	4	1	0	1	0	0	0	0	0	2	4
OG6659_1	4	1	1	1	1	0	0	0	1	1	4
AT3G14720	4	1	1	1	0	0	1	1	1	1	4
AT1G28520	4	1	1	1	0	0	1	1	1	1	4
AT4G34360	4	0	1	1	0	0	1	1	1	1	4
OG2905_2	4	0	1	1	0	0	0	1	1	1	4
OG2905_1	4	0	1	1	0	1	0	1	1	1	4
AT5G08400	4	0	1	1	1	1	1	1	1	1	4
AT3G28030	4	0	0	0	1	1	1	1	1	1	4
AT4G23800	4	0	0	0	0	1	1	1	1	1	4
AT1G33940	4	0	0	0	0	1	0	1	1	1	4
OG3384_1	4	0	0	0	0	1	0	1	1	1	4
OG3459_1	5	0	0	0	0	1	0	1	1	1	4
AT5G62910	4	0	0	0	0	0	1	1	1	1	4
AT2G01620	4	0	0	0	0	0	1	1	2	1	4
OG1123_2	4	0	0	0	0	0	0	2	2	1	4
AT3G56080	4	0	1	1	0	0	0	2	2	1	4
AT1G03290	4	0	2	2	0	0	0	2	2	2	4
OG6582_2	4	2	2	2	0	0	0	0	0	2	4
OG6540_1	4	1	5	4	0	0	0	0	0	4	4
OG2052_3	4	0	4	4	0	0	0	0	0	4	4
OG7965_2	4	0	4	4	0	0	0	0	0	4	4
OG6774_2	4	0	4	4	0	0	0	0	0	4	4
OG3213_2	4	0	4	4	0	0	0	0	0	4	4
OG6740_2	4	0	4	4	0	0	0	0	0	4	4
OG4702_1	4	0	4	4	0	0	0	0	0	4	4
OG4566_2	4	0	4	4	0	0	0	0	0	4	4
OG6090_2	4	0	4	4	0	0	0	0	0	4	4
OG5076_2	4	0	4	4	0	0	0	0	0	4	4
OG6532_2	4	0	4	4	0	0	0	0	0	4	4
OG3834_2	4	0	4	5	0	0	0	0	0	4	4
OG6614_2	4	0	4	5	0	0	0	0	0	5	4
OG6084_2	4	0	4	4	0	0	0	0	0	5	4
AT5G63270	4	0	4	4	0	0	1	1	1	4	4
AT2G38780	4	0	4	4	2	2	0	2	2	4	4
AT1G53120	4	0	4	4	2	2	2	2	2	4	4
AT5G27290	5	0	4	4	2	2	2	2	2	4	4
AT5G19630	4	0	4	4	0	2	2	2	2	4	4
AT4G37510	4	0	4	4	0	2	2	2	2	4	4
AT1G50840	4	0	2	2	0	4	2	2	2	4	4
OG7902_1	5	0	2	2	0	2	0	2	2	4	4
OG532_1	4	0	0	0	0	0	0	0	0	4	4
OG5832_1	4	0	0	0	0	0	0	0	0	4	4
OG2237_1	4	0	0	0	0	0	0	0	0	4	4
OG1821_1	4	0	0	0	0	0	0	0	0	4	4
OG6108_2	4	0	0	2	0	0	0	0	0	4	4
OG4386_1	4	0	1	2	0	0	0	0	0	4	4
OG4806_2	4	1	1	4	0	0	0	0	0	4	4
OG2981_2	4	1	0	4	0	0	0	0	0	4	4
OG5583_2	4	0	0	4	0	0	0	0	0	4	4
OG1563_3	4	0	0	4	0	0	0	0	0	4	4
OG7791_2	4	0	0	4	0	0	0	0	0	4	4
OG7057_2	4	0	0	4	0	0	0	0	0	4	4
OG6739_2	4	0	0	4	0	0	0	0	0	4	4
OG6716_2	4	0	0	4	0	0	0	0	0	4	4
OG358_1	4	0	0	4	0	0	0	0	0	4	4
AT4G19380	4	0	0	4	0	0	1	1	1	4	4
OG459_2	4	0	1	4	0	0	0	0	4	4	4
OG4719_2	4	0	0	4	0	0	0	0	4	4	4
OG4660_2	4	2	0	2	0	0	0	0	4	4	4
