Gene	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
OG1503_3	2	7	7	7	-1	-1	-1	-1	-1	7	7
OG4465_2	2	2	7	7	-1	-1	-1	-1	-1	7	7
OG1362_3	2	2	7	7	-1	-1	-1	-1	-1	7	5
DUMMY590	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT5G03470	2	-1	2	2	4	2	1	2	2	2	2
AT4G17750	2	-1	2	2	0	2	1	2	2	2	2
AT5G65205	2	0	2	2	0	2	1	2	2	2	2
AT5G18570	2	0	2	2	-1	2	1	2	2	2	2
AT2G31300	2	0	1	2	-1	2	1	2	2	2	2
AT5G37130	2	1	0	2	-1	2	1	2	2	2	2
DUMMY591	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G71040	7	-1	0	6	7	6	6	6	6	6	6
AT3G01980	2	2	0	6	7	6	6	6	6	6	6
AT4G15955	6	7	0	6	7	6	6	6	6	6	6
AT4G11160	0	6	0	6	7	6	6	6	6	6	6
AT1G05590	0	1	0	6	7	6	6	6	6	6	6
AT2G35660	6	1	0	6	7	1	6	6	6	6	6
DUMMY592	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G22450	-1	-1	3	3	-1	-1	7	7	7	7	3
AT3G05020	-1	-1	3	3	-1	-1	7	7	7	7	3
AT2G33410	-1	-1	3	3	7	-1	7	7	7	7	7
AT4G28730	-1	-1	3	3	-1	-1	2	7	7	7	7
AT1G29030	-1	-1	3	3	-1	-1	2	7	7	7	7
AT2G32410	3	-1	3	3	-1	-1	3	7	7	7	7
DUMMY593	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
AT1G15410	-1	-1	-1	-1	-1	4	2	4	2	4	4
AT1G02990	-1	-1	-1	-1	-1	4	2	2	2	4	4
AT2G38650	-1	-1	-1	-1	-1	2	2	2	2	4	4
AT4G30950	4	-1	-1	-1	-1	2	2	2	2	4	4
