Loci	PHYPA	ORYSJ	MAIZE	Anc5	SOLTU	MEDTR	ARATH	Anc4	Anc3	Anc2	Anc1
AT4G22820	-2	-2	-2	-2	-2	-2	0	0	0	0	0
OG536_1	-2	-2	-2	0	-2	-2	-2	-2	-2	0	0
OG536_2	-2	-2	-1	0	-2	-2	-2	-2	-2	0	0
OG536_3	-2	-2	-1	0	-2	-2	-2	-2	-2	0	0
OG554_1	-2	0	-2	0	-2	-2	-2	-2	-2	0	0
AT2G41980	-2	0	-2	0	0	-2	-1	0	0	0	0
AT3G58040	-2	-2	-2	-2	0	-2	0	0	0	0	0
AT2G38480	-2	-2	-2	-2	3	-2	3	3	3	3	0
OG555_2	-2	-2	-2	-2	-1	-2	-2	-2	3	3	0
AT5G40300	-2	-1	0	0	3	3	0	3	3	0	0
OG555_4	-2	-1	-1	0	3	3	-2	0	0	0	0
OG555_5	-2	-2	-2	-2	-1	0	-2	0	0	0	0
OG557_1	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG557_3	-2	-2	-2	-2	-2	0	-2	0	0	0	0
OG557_4	-2	-2	-2	-2	-2	1	-2	1	1	1	0
OG557_5	-2	-2	-2	-2	-2	1	-2	1	1	1	0
AT1G60390	-2	-2	-2	-2	-1	-2	0	0	0	0	0
OG557_7	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT2G27660	0	-2	-2	-2	-2	-2	0	0	0	0	0
OG563_2	-1	-2	-2	-2	-2	-2	-2	-2	0	0	0
AT2G44390	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
AT5G43520	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG564_1	0	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT5G24890	0	-1	-1	0	-1	3	0	3	0	0	0
AT4G31510	-2	0	0	0	0	-1	-1	3	0	0	0
AT2G24550	-2	-2	-2	-2	-2	-2	0	3	0	0	0
AT3G53000	0	-2	-2	-2	-2	0	0	0	0	0	0
OG594_1	-2	-2	-1	0	0	-2	-2	-2	0	0	0
OG594_2	-2	-1	-2	0	-2	-2	-2	-2	-2	0	0
OG594_3	-2	0	-2	0	-2	-2	-2	-2	-2	0	0
AT5G15330	-2	-2	-2	-2	-2	-1	0	0	0	0	0
AT2G45130	0	-2	-2	-2	0	-2	0	0	0	0	0
AT5G20150	-1	0	-1	0	-2	-2	3	3	3	0	0
OG595_4	-2	0	-1	0	3	3	-2	3	3	0	0
OG595_5	-2	-2	-2	-2	0	0	-2	0	0	0	0
AT2G26660	-2	-2	-2	-2	-2	-1	0	0	0	0	0
OG606_1	-2	-1	0	0	-2	-2	-2	-2	-2	0	0
OG606_2	-2	-2	-1	0	3	-2	-2	-2	1	1	0
AT3G56050	-2	-2	-2	-2	-2	-2	2	2	1	1	0
AT2G40270	-2	-2	-2	-2	-2	-2	-1	2	1	1	0
AT4G01720	-2	-2	-2	-2	-2	-2	0	0	0	0	0
OG609_2	-2	-2	-2	-2	-1	-2	-2	-2	0	0	0
OG609_3	-2	-2	-2	-2	0	-2	-2	-2	0	0	0
AT3G60410	-2	-2	-2	-2	0	-2	0	0	0	0	0
OG611_2	-2	-2	-2	-2	-1	0	-2	0	0	0	0
AT4G32090	-2	-2	-2	3	3	-2	-1	3	3	3	0
OG619_2	-2	3	3	3	-2	1	-2	3	3	0	0
OG619_3	-2	0	-1	0	-2	-2	-2	-2	-2	0	0
OG619_4	-2	-2	0	0	-2	-2	-2	-2	-2	0	0
OG624_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
OG624_2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
OG624_5	-2	-2	-2	-2	-1	0	-2	0	0	0	0
OG631_1	-2	-1	-1	0	0	-2	-2	-2	0	0	0
OG631_2	-2	-2	0	0	-1	3	-2	3	0	0	0
AT5G23660	-2	-2	-2	-2	-2	-1	-1	3	0	0	0
AT3G48740	-2	-2	-2	-2	-2	-2	3	3	0	0	0
OG632_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0
AT3G28180	0	-1	-1	0	-1	3	0	0	0	0	0
AT4G31590	0	-1	0	0	-1	0	0	0	0	0	0
AT2G24630	-2	-2	-2	-2	-2	-2	-1	0	0	0	0
OG644_1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0
