OG193_0	c2_AC004908.3,c4_AC004908.3,c1_AC004908.3,c3_AC004908.3
OG194_0	c2_AC004918.1,c4_AC004918.1,c1_AC004918.1,c3_AC004918.1
OG195_0	c2_AC004922.1,c4_AC004922.1,c1_AC004922.1,c3_AC004922.1
OG196_0	c2_AC004923.4,c4_AC004923.4,c1_AC004923.4,c3_AC004923.4
OG197_0	c2_AC004941.1,c4_AC004941.1,c1_AC004941.1,c3_AC004941.1
OG198_0	c2_AC004943.1,c4_AC004943.1,c1_AC004943.1,c3_AC004943.1
OG199_0	c2_AC004943.2,c4_AC004943.2,c1_AC004943.2,c3_AC004943.2
OG200_0	c2_AC004947.1,c4_AC004947.1,c1_AC004947.1,c3_AC004947.1
OG201_0	c2_AC004948.1,c4_AC004948.1,c1_AC004948.1,c3_AC004948.1
OG202_0	c2_AC004951.1,c4_AC004951.1,c1_AC004951.1,c3_AC004951.1
OG203_0	c2_AC004969.1,c4_AC004969.1,c1_AC004969.1,c3_AC004969.1
OG204_0	c2_AC004982.1,c4_AC004982.1,c1_AC004982.1,c3_AC004982.1
OG205_0	c2_AC004982.2,c4_AC004982.2,c1_AC004982.2,c3_AC004982.2
OG206_0	c2_AC004990.1,c4_AC004990.1,c1_AC004990.1,c3_AC004990.1
OG207_0	c2_AC005005.3,c4_AC005005.3,c1_AC005005.3,c3_AC005005.3
OG208_0	c2_AC005009.1,c4_AC005009.1,c1_AC005009.1,c3_AC005009.1
OG209_0	c2_AC005009.2,c4_AC005009.2,c1_AC005009.2,c3_AC005009.2
OG210_0	c2_AC005014.2,c4_AC005014.2,c1_AC005014.2,c3_AC005014.2
OG211_0	c2_AC005034.2,c4_AC005034.2,c1_AC005034.2,c3_AC005034.2
OG212_0	c2_AC005034.3,c4_AC005034.3,c1_AC005034.3,c3_AC005034.3
OG213_0	c2_AC005034.4,c4_AC005034.4,c1_AC005034.4,c3_AC005034.4
OG214_0	c2_AC005037.1,c4_AC005037.1,c1_AC005037.1,c3_AC005037.1
OG215_0	c2_AC005041.1,c4_AC005041.1,c1_AC005041.1,c3_AC005041.1
OG216_0	c2_AC005046.1,c4_AC005046.1,c1_AC005046.1,c3_AC005046.1
OG217_0	c2_AC005070.3,c4_AC005070.3,c1_AC005070.3,c3_AC005070.3
OG218_0	c2_AC005076.1,c4_AC005076.1,c1_AC005076.1,c3_AC005076.1
OG219_0	c2_AC005082.1,c4_AC005082.1,c1_AC005082.1,c3_AC005082.1
OG220_0	c2_AC005096.1,c4_AC005096.1,c1_AC005096.1,c3_AC005096.1
OG221_0	c2_AC005154.6,c4_AC005154.6,c1_AC005154.6,c3_AC005154.6
OG222_0	c2_AC005162.3,c4_AC005162.3,c1_AC005162.3,c3_AC005162.3
OG223_0	c2_AC005180.2,c4_AC005180.2,c1_AC005180.2,c3_AC005180.2
OG224_0	c2_AC005197.1,c4_AC005197.1,c1_AC005197.1,c3_AC005197.1
OG225_0	c2_AC005224.1,c4_AC005224.1,c1_AC005224.1,c3_AC005224.1
OG226_0	c2_AC005224.3,c4_AC005224.3,c1_AC005224.3,c3_AC005224.3
OG227_0	c2_AC005224.4,c4_AC005224.4,c1_AC005224.4,c3_AC005224.4
OG228_0	c2_AC005225.2,c4_AC005225.2,c1_AC005225.2,c3_AC005225.2
OG229_0	c2_AC005229.4,c4_AC005229.4,c1_AC005229.4,c3_AC005229.4
OG230_0	c2_AC005253.1,c4_AC005253.1,c1_AC005253.1,c3_AC005253.1
OG231_0	c2_AC005256.1,c4_AC005256.1,c1_AC005256.1,c3_AC005256.1
